airline,departure_time,arrival_time,duration,stops,price
Thai Vietjet Air,11:55 PM,N/A,6 hr,Nonstop,"THB 12,108"
ZIPAIR Tokyo,11:45 PM,N/A,5 hr 45 min,Nonstop,"THB 13,453"
Air Japan,12:10 AM,N/A,6 hr 5 min,Nonstop,"THB 14,090"
THAI,10:30 PM,N/A,5 hr 50 min,Nonstop,"THB 19,770"
THAIANA,11:55 PM,N/A,5 hr 45 min,Nonstop,"THB 19,770"
ANAOperated by Air Japan,7:10 AM,N/A,5 hr 55 min,Nonstop,"THB 21,460"
THAI,8:00 AM,N/A,5 hr 50 min,Nonstop,"THB 23,420"
JALBangkok Airways,8:05 AM,N/A,5 hr 55 min,Nonstop,"THB 25,600"
