airline,departure_time,arrival_time,duration,stops,price,price_text,departure_date,return_date,origin,destination
THAI,11:55 PM,7:40 AM+1,5 hr 45 min,Nonstop,16334.0,"THB 16,334",2026-01-15,2026-01-22,BKK,NRT
JALBangkok Airways,8:05 AM,4:00 PM,5 hr 55 min,Nonstop,20114.0,"THB 20,114",2026-01-15,2026-01-22,BKK,NRT
ANAOperated by Air Japan,7:10 AM,3:05 PM,5 hr 55 min,Nonstop,20890.0,"THB 20,890",2026-01-15,2026-01-22,BKK,NRT
Thai Vietjet Air,11:55 PM,7:55 AM+1,6 hr,Nonstop,12351.0,"THB 12,351",2026-02-15,2026-02-22,BKK,NRT
ZIPAIR Tokyo,11:45 PM,7:30 AM+1,5 hr 45 min,Nonstop,13362.0,"THB 13,362",2026-02-15,2026-02-22,BKK,NRT
Air Japan,12:10 AM,8:15 AM,6 hr 5 min,Nonstop,13622.0,"THB 13,622",2026-02-15,2026-02-22,BKK,NRT
THAIANA,11:55 PM,7:40 AM+1,5 hr 45 min,Nonstop,17572.0,"THB 17,572",2026-02-15,2026-02-22,BKK,NRT
Philippine Airlines,11:50 PM,8:10 PM+1,18 hr 20 min,1 stop,17180.0,"THB 17,180",2026-02-15,2026-02-22,BKK,NRT
THAI,10:30 PM,6:20 AM+1,5 hr 50 min,Nonstop,17572.0,"THB 17,572",2026-02-15,2026-02-22,BKK,NRT
JALBangkok Airways,8:05 AM,4:00 PM,5 hr 55 min,Nonstop,21352.0,"THB 21,352",2026-02-15,2026-02-22,BKK,NRT
THAI,8:00 AM,3:50 PM,5 hr 50 min,Nonstop,21952.0,"THB 21,952",2026-02-15,2026-02-22,BKK,NRT
ANAOperated by Air Japan,7:10 AM,3:05 PM,5 hr 55 min,Nonstop,25960.0,"THB 25,960",2026-02-15,2026-02-22,BKK,NRT
Thai Vietjet Air,11:55 PM,7:55 AM+1,6 hr,Nonstop,12351.0,"THB 12,351",2026-02-15,2026-02-22,BKK,NRT
ZIPAIR Tokyo,11:45 PM,7:30 AM+1,5 hr 45 min,Nonstop,13362.0,"THB 13,362",2026-02-15,2026-02-22,BKK,NRT
Air Japan,12:10 AM,8:15 AM,6 hr 5 min,Nonstop,13622.0,"THB 13,622",2026-02-15,2026-02-22,BKK,NRT
THAIANA,11:55 PM,7:40 AM+1,5 hr 45 min,Nonstop,17572.0,"THB 17,572",2026-02-15,2026-02-22,BKK,NRT
Philippine Airlines,11:50 PM,8:10 PM+1,18 hr 20 min,1 stop,17180.0,"THB 17,180",2026-02-15,2026-02-22,BKK,NRT
THAI,10:30 PM,6:20 AM+1,5 hr 50 min,Nonstop,17572.0,"THB 17,572",2026-02-15,2026-02-22,BKK,NRT
JALBangkok Airways,8:05 AM,4:00 PM,5 hr 55 min,Nonstop,21352.0,"THB 21,352",2026-02-15,2026-02-22,BKK,NRT
THAI,8:00 AM,3:50 PM,5 hr 50 min,Nonstop,21952.0,"THB 21,952",2026-02-15,2026-02-22,BKK,NRT
ANAOperated by Air Japan,7:10 AM,3:05 PM,5 hr 55 min,Nonstop,25960.0,"THB 25,960",2026-02-15,2026-02-22,BKK,NRT
